year,month,day,date
kỷ mão,bính tý,mậu ngọ,1-Jan-00
kỷ mão,bính tý,kỷ mùi,2-Jan-00
kỷ mão,bính tý,canh thân,3-Jan-00
kỷ mão,bính tý,tân dậu,4-Jan-00
kỷ mão,bính tý,nhâm tuất,5-Jan-00
kỷ mão,bính tý,quý hợi,6-Jan-00
kỷ mão,đinh sửu,giáp tý,7-Jan-00
kỷ mão,đinh sửu,ất sửu,8-Jan-00
kỷ mão,đinh sửu,bính dần,9-Jan-00
kỷ mão,đinh sửu,đinh mão,10-Jan-00
kỷ mão,đinh sửu,mậu thìn,11-Jan-00
kỷ mão,đinh sửu,kỷ tỵ,12-Jan-00
kỷ mão,đinh sửu,canh ngọ,13-Jan-00
kỷ mão,đinh sửu,tân mùi,14-Jan-00
kỷ mão,đinh sửu,nhâm thân,15-Jan-00
kỷ mão,đinh sửu,quý dậu,16-Jan-00
kỷ mão,đinh sửu,giáp tuất,17-Jan-00
kỷ mão,đinh sửu,ất hợi,18-Jan-00
kỷ mão,đinh sửu,bính tý,19-Jan-00
kỷ mão,đinh sửu,đinh sửu,20-Jan-00
kỷ mão,đinh sửu,mậu dần,21-Jan-00
kỷ mão,đinh sửu,kỷ mão,22-Jan-00
kỷ mão,đinh sửu,canh thìn,23-Jan-00
kỷ mão,đinh sửu,tân tỵ,24-Jan-00
kỷ mão,đinh sửu,nhâm ngọ,25-Jan-00
kỷ mão,đinh sửu,quý mùi,26-Jan-00
kỷ mão,đinh sửu,giáp thân,27-Jan-00
kỷ mão,đinh sửu,ất dậu,28-Jan-00
kỷ mão,đinh sửu,bính tuất,29-Jan-00
kỷ mão,đinh sửu,đinh hợi,30-Jan-00
kỷ mão,đinh sửu,mậu tý,31-Jan-00
kỷ mão,đinh sửu,kỷ sửu,1-Feb-00
kỷ mão,đinh sửu,canh dần,2-Feb-00
kỷ mão,đinh sửu,tân mão,3-Feb-00
kỷ mão,đinh sửu,nhâm thìn,4-Feb-00
canh thìn,mậu dần,quý tỵ,5-Feb-00
canh thìn,mậu dần,giáp ngọ,6-Feb-00
canh thìn,mậu dần,ất mùi,7-Feb-00
canh thìn,mậu dần,bính thân,8-Feb-00
canh thìn,mậu dần,đinh dậu,9-Feb-00
canh thìn,mậu dần,mậu tuất,10-Feb-00
canh thìn,mậu dần,kỷ hợi,11-Feb-00
canh thìn,mậu dần,canh tý,12-Feb-00
canh thìn,mậu dần,tân sửu,13-Feb-00
canh thìn,mậu dần,nhâm dần,14-Feb-00
canh thìn,mậu dần,quý mão,15-Feb-00
canh thìn,mậu dần,giáp thìn,16-Feb-00
canh thìn,mậu dần,ất tỵ,17-Feb-00
canh thìn,mậu dần,bính ngọ,18-Feb-00
canh thìn,mậu dần,đinh mùi,19-Feb-00
canh thìn,mậu dần,mậu thân,20-Feb-00
canh thìn,mậu dần,kỷ dậu,21-Feb-00
canh thìn,mậu dần,canh tuất,22-Feb-00
canh thìn,mậu dần,tân hợi,23-Feb-00
canh thìn,mậu dần,nhâm tý,24-Feb-00
canh thìn,mậu dần,quý sửu,25-Feb-00
canh thìn,mậu dần,giáp dần,26-Feb-00
canh thìn,mậu dần,ất mão,27-Feb-00
canh thìn,mậu dần,bính thìn,28-Feb-00
canh thìn,mậu dần,đinh tỵ,29-Feb-00
canh thìn,mậu dần,mậu ngọ,1-Mar-00
canh thìn,mậu dần,kỷ mùi,2-Mar-00
canh thìn,mậu dần,canh thân,3-Mar-00
canh thìn,mậu dần,tân dậu,4-Mar-00
canh thìn,mậu dần,nhâm tuất,5-Mar-00
canh thìn,kỷ mão,quý hợi,6-Mar-00
canh thìn,kỷ mão,giáp tý,7-Mar-00
canh thìn,kỷ mão,ất sửu,8-Mar-00
canh thìn,kỷ mão,bính dần,9-Mar-00
canh thìn,kỷ mão,đinh mão,10-Mar-00
canh thìn,kỷ mão,mậu thìn,11-Mar-00
canh thìn,kỷ mão,kỷ tỵ,12-Mar-00
canh thìn,kỷ mão,canh ngọ,13-Mar-00
canh thìn,kỷ mão,tân mùi,14-Mar-00
canh thìn,kỷ mão,nhâm thân,15-Mar-00
canh thìn,kỷ mão,quý dậu,16-Mar-00
canh thìn,kỷ mão,giáp tuất,17-Mar-00
canh thìn,kỷ mão,ất hợi,18-Mar-00
canh thìn,kỷ mão,bính tý,19-Mar-00
canh thìn,kỷ mão,đinh sửu,20-Mar-00
canh thìn,kỷ mão,mậu dần,21-Mar-00
canh thìn,kỷ mão,kỷ mão,22-Mar-00
canh thìn,kỷ mão,canh thìn,23-Mar-00
canh thìn,kỷ mão,tân tỵ,24-Mar-00
canh thìn,kỷ mão,nhâm ngọ,25-Mar-00
canh thìn,kỷ mão,quý mùi,26-Mar-00
canh thìn,kỷ mão,giáp thân,27-Mar-00
canh thìn,kỷ mão,ất dậu,28-Mar-00
canh thìn,kỷ mão,bính tuất,29-Mar-00
canh thìn,kỷ mão,đinh hợi,30-Mar-00
canh thìn,kỷ mão,mậu tý,31-Mar-00
canh thìn,kỷ mão,kỷ sửu,1-Apr-00
canh thìn,kỷ mão,canh dần,2-Apr-00
canh thìn,kỷ mão,tân mão,3-Apr-00
canh thìn,kỷ mão,nhâm thìn,4-Apr-00
canh thìn,canh thìn,quý tỵ,5-Apr-00
canh thìn,canh thìn,giáp ngọ,6-Apr-00
canh thìn,canh thìn,ất mùi,7-Apr-00
canh thìn,canh thìn,bính thân,8-Apr-00
canh thìn,canh thìn,đinh dậu,9-Apr-00
canh thìn,canh thìn,mậu tuất,10-Apr-00
canh thìn,canh thìn,kỷ hợi,11-Apr-00
canh thìn,canh thìn,canh tý,12-Apr-00
canh thìn,canh thìn,tân sửu,13-Apr-00
canh thìn,canh thìn,nhâm dần,14-Apr-00
canh thìn,canh thìn,quý mão,15-Apr-00
canh thìn,canh thìn,giáp thìn,16-Apr-00
canh thìn,canh thìn,ất tỵ,17-Apr-00
canh thìn,canh thìn,bính ngọ,18-Apr-00
canh thìn,canh thìn,đinh mùi,19-Apr-00
canh thìn,canh thìn,mậu thân,20-Apr-00
canh thìn,canh thìn,kỷ dậu,21-Apr-00
canh thìn,canh thìn,canh tuất,22-Apr-00
canh thìn,canh thìn,tân hợi,23-Apr-00
canh thìn,canh thìn,nhâm tý,24-Apr-00
canh thìn,canh thìn,quý sửu,25-Apr-00
canh thìn,canh thìn,giáp dần,26-Apr-00
canh thìn,canh thìn,ất mão,27-Apr-00
canh thìn,canh thìn,bính thìn,28-Apr-00
canh thìn,canh thìn,đinh tỵ,29-Apr-00
canh thìn,canh thìn,mậu ngọ,30-Apr-00
canh thìn,canh thìn,kỷ mùi,1-May-00
canh thìn,canh thìn,canh thân,2-May-00
canh thìn,canh thìn,tân dậu,3-May-00
canh thìn,tân tỵ,nhâm tuất,4-May-00
canh thìn,tân tỵ,quý hợi,5-May-00
